filename,label
Apple___Apple_scab_0_1.jpg,Apple___Apple_scab
Apple___Apple_scab_0_2.jpg,Apple___Apple_scab
Apple___Apple_scab_0_3.jpg,Apple___Apple_scab
Apple___Apple_scab_0_4.jpg,Apple___Apple_scab
Apple___Apple_scab_0_5.jpg,Apple___Apple_scab
Apple___Apple_scab_0_6.jpg,Apple___Apple_scab
Apple___Apple_scab_0_7.jpg,Apple___Apple_scab
Apple___Apple_scab_0_8.jpg,Apple___Apple_scab
Apple___Apple_scab_0_9.jpg,Apple___Apple_scab
Apple___Apple_scab_0_10.jpg,Apple___Apple_scab
Apple___Apple_scab_0_11.jpg,Apple___Apple_scab
Apple___Apple_scab_0_12.jpg,Apple___Apple_scab
Apple___Apple_scab_0_13.jpg,Apple___Apple_scab
Apple___Apple_scab_0_14.jpg,Apple___Apple_scab
Apple___Apple_scab_0_15.jpg,Apple___Apple_scab
Apple___Apple_scab_0_16.jpg,Apple___Apple_scab
Apple___Apple_scab_0_17.jpg,Apple___Apple_scab
Apple___Apple_scab_0_18.jpg,Apple___Apple_scab
Apple___Apple_scab_0_19.jpg,Apple___Apple_scab
Apple___Apple_scab_0_20.jpg,Apple___Apple_scab
Apple___Apple_scab_0_21.jpg,Apple___Apple_scab
Apple___Apple_scab_0_22.jpg,Apple___Apple_scab
Apple___Apple_scab_0_23.jpg,Apple___Apple_scab
Apple___Apple_scab_0_24.jpg,Apple___Apple_scab
Apple___Apple_scab_0_25.jpg,Apple___Apple_scab
Apple___Apple_scab_0_26.jpg,Apple___Apple_scab
Apple___Apple_scab_0_27.jpg,Apple___Apple_scab
Apple___Apple_scab_0_28.jpg,Apple___Apple_scab
Apple___Apple_scab_0_29.jpg,Apple___Apple_scab
Apple___Apple_scab_0_30.jpg,Apple___Apple_scab
Apple___Apple_scab_0_31.jpg,Apple___Apple_scab
Apple___Apple_scab_0_32.jpg,Apple___Apple_scab
Apple___Apple_scab_1_1.jpg,Apple___Apple_scab
Apple___Apple_scab_1_2.jpg,Apple___Apple_scab
Apple___Apple_scab_1_3.jpg,Apple___Apple_scab
Apple___Apple_scab_1_4.jpg,Apple___Apple_scab
Apple___Apple_scab_1_5.jpg,Apple___Apple_scab
Apple___Apple_scab_1_6.jpg,Apple___Apple_scab
Apple___Apple_scab_1_7.jpg,Apple___Apple_scab
Apple___Apple_scab_1_8.jpg,Apple___Apple_scab
Apple___Apple_scab_1_9.jpg,Apple___Apple_scab
Apple___Apple_scab_1_10.jpg,Apple___Apple_scab
Apple___Apple_scab_1_11.jpg,Apple___Apple_scab
Apple___Apple_scab_1_12.jpg,Apple___Apple_scab
Apple___Apple_scab_1_13.jpg,Apple___Apple_scab
Apple___Apple_scab_1_14.jpg,Apple___Apple_scab
Apple___Apple_scab_1_15.jpg,Apple___Apple_scab
Apple___Apple_scab_1_16.jpg,Apple___Apple_scab
Apple___Apple_scab_1_17.jpg,Apple___Apple_scab
Apple___Apple_scab_1_18.jpg,Apple___Apple_scab
Apple___Apple_scab_1_19.jpg,Apple___Apple_scab
Apple___Apple_scab_1_20.jpg,Apple___Apple_scab
Apple___Apple_scab_1_21.jpg,Apple___Apple_scab
Apple___Apple_scab_1_22.jpg,Apple___Apple_scab
Apple___Apple_scab_1_23.jpg,Apple___Apple_scab
Apple___Apple_scab_1_24.jpg,Apple___Apple_scab
Apple___Apple_scab_1_25.jpg,Apple___Apple_scab
Apple___Apple_scab_1_26.jpg,Apple___Apple_scab
Apple___Apple_scab_1_27.jpg,Apple___Apple_scab
Apple___Apple_scab_1_28.jpg,Apple___Apple_scab
Apple___Apple_scab_1_29.jpg,Apple___Apple_scab
Apple___Apple_scab_1_30.jpg,Apple___Apple_scab
Apple___Apple_scab_1_31.jpg,Apple___Apple_scab
Apple___Apple_scab_1_32.jpg,Apple___Apple_scab
Apple___Apple_scab_2_1.jpg,Apple___Apple_scab
Apple___Apple_scab_2_2.jpg,Apple___Apple_scab
Apple___Apple_scab_2_3.jpg,Apple___Apple_scab
Apple___Apple_scab_2_4.jpg,Apple___Apple_scab
Apple___Apple_scab_2_5.jpg,Apple___Apple_scab
Apple___Apple_scab_2_6.jpg,Apple___Apple_scab
Apple___Apple_scab_2_7.jpg,Apple___Apple_scab
Apple___Apple_scab_2_8.jpg,Apple___Apple_scab
Apple___Apple_scab_2_9.jpg,Apple___Apple_scab
Apple___Apple_scab_2_10.jpg,Apple___Apple_scab
Apple___Apple_scab_2_11.jpg,Apple___Apple_scab
Apple___Apple_scab_2_12.jpg,Apple___Apple_scab
Apple___Apple_scab_2_13.jpg,Apple___Apple_scab
Apple___Apple_scab_2_14.jpg,Apple___Apple_scab
Apple___Apple_scab_2_15.jpg,Apple___Apple_scab
Apple___Apple_scab_2_16.jpg,Apple___Apple_scab
Apple___Apple_scab_2_17.jpg,Apple___Apple_scab
Apple___Apple_scab_2_18.jpg,Apple___Apple_scab
Apple___Apple_scab_2_19.jpg,Apple___Apple_scab
Apple___Apple_scab_2_20.jpg,Apple___Apple_scab
Apple___Apple_scab_2_21.jpg,Apple___Apple_scab
Apple___Apple_scab_2_22.jpg,Apple___Apple_scab
Apple___Apple_scab_2_23.jpg,Apple___Apple_scab
Apple___Apple_scab_2_24.jpg,Apple___Apple_scab
Apple___Apple_scab_2_25.jpg,Apple___Apple_scab
Apple___Apple_scab_2_26.jpg,Apple___Apple_scab
Apple___Apple_scab_2_27.jpg,Apple___Apple_scab
Apple___Apple_scab_2_28.jpg,Apple___Apple_scab
Apple___Apple_scab_2_29.jpg,Apple___Apple_scab
Apple___Apple_scab_2_30.jpg,Apple___Apple_scab
Apple___Apple_scab_2_31.jpg,Apple___Apple_scab
Apple___Apple_scab_2_32.jpg,Apple___Apple_scab
Apple___Apple_scab_3_1.jpg,Apple___Apple_scab
Apple___Apple_scab_3_2.jpg,Apple___Apple_scab
Apple___Apple_scab_3_3.jpg,Apple___Apple_scab
Apple___Apple_scab_3_4.jpg,Apple___Apple_scab
Apple___Apple_scab_3_5.jpg,Apple___Apple_scab
Apple___Apple_scab_3_6.jpg,Apple___Apple_scab
Apple___Apple_scab_3_7.jpg,Apple___Apple_scab
Apple___Apple_scab_3_8.jpg,Apple___Apple_scab
Apple___Apple_scab_3_9.jpg,Apple___Apple_scab
Apple___Apple_scab_3_10.jpg,Apple___Apple_scab
Apple___Apple_scab_3_11.jpg,Apple___Apple_scab
Apple___Apple_scab_3_12.jpg,Apple___Apple_scab
Apple___Apple_scab_3_13.jpg,Apple___Apple_scab
Apple___Apple_scab_3_14.jpg,Apple___Apple_scab
Apple___Apple_scab_3_15.jpg,Apple___Apple_scab
Apple___Apple_scab_3_16.jpg,Apple___Apple_scab
Apple___Apple_scab_3_17.jpg,Apple___Apple_scab
Apple___Apple_scab_3_18.jpg,Apple___Apple_scab
Apple___Apple_scab_3_19.jpg,Apple___Apple_scab
Apple___Apple_scab_3_20.jpg,Apple___Apple_scab
Apple___Apple_scab_3_21.jpg,Apple___Apple_scab
Apple___Apple_scab_3_22.jpg,Apple___Apple_scab
Apple___Apple_scab_3_23.jpg,Apple___Apple_scab
Apple___Apple_scab_3_24.jpg,Apple___Apple_scab
Apple___Apple_scab_3_25.jpg,Apple___Apple_scab
Apple___Apple_scab_3_26.jpg,Apple___Apple_scab
Apple___Apple_scab_3_27.jpg,Apple___Apple_scab
Apple___Apple_scab_3_28.jpg,Apple___Apple_scab
Apple___Apple_scab_3_29.jpg,Apple___Apple_scab
Apple___Apple_scab_3_30.jpg,Apple___Apple_scab
Apple___Apple_scab_3_31.jpg,Apple___Apple_scab
Apple___Apple_scab_3_32.jpg,Apple___Apple_scab
Apple___Apple_scab_4_1.jpg,Apple___Apple_scab
Apple___Apple_scab_4_2.jpg,Apple___Apple_scab
Apple___Apple_scab_4_3.jpg,Apple___Apple_scab
Apple___Apple_scab_4_4.jpg,Apple___Apple_scab
Apple___Apple_scab_4_5.jpg,Apple___Apple_scab
Apple___Apple_scab_4_6.jpg,Apple___Apple_scab
Apple___Apple_scab_4_7.jpg,Apple___Apple_scab
Apple___Apple_scab_4_8.jpg,Apple___Apple_scab
Apple___Apple_scab_4_9.jpg,Apple___Apple_scab
Apple___Apple_scab_4_10.jpg,Apple___Apple_scab
Apple___Apple_scab_4_11.jpg,Apple___Apple_scab
Apple___Apple_scab_4_12.jpg,Apple___Apple_scab
Apple___Apple_scab_4_13.jpg,Apple___Apple_scab
Apple___Apple_scab_4_14.jpg,Apple___Apple_scab
Apple___Apple_scab_4_15.jpg,Apple___Apple_scab
Apple___Apple_scab_4_16.jpg,Apple___Apple_scab
Apple___Apple_scab_4_17.jpg,Apple___Apple_scab
Apple___Apple_scab_4_18.jpg,Apple___Apple_scab
Apple___Apple_scab_4_19.jpg,Apple___Apple_scab
Apple___Apple_scab_4_20.jpg,Apple___Apple_scab
Apple___Apple_scab_4_21.jpg,Apple___Apple_scab
Apple___Apple_scab_4_22.jpg,Apple___Apple_scab
Apple___Apple_scab_4_23.jpg,Apple___Apple_scab
Apple___Apple_scab_4_24.jpg,Apple___Apple_scab
Apple___Apple_scab_4_25.jpg,Apple___Apple_scab
Apple___Apple_scab_4_26.jpg,Apple___Apple_scab
Apple___Apple_scab_4_27.jpg,Apple___Apple_scab
Apple___Apple_scab_4_28.jpg,Apple___Apple_scab
Apple___Apple_scab_4_29.jpg,Apple___Apple_scab
Apple___Apple_scab_4_30.jpg,Apple___Apple_scab
Apple___Apple_scab_4_31.jpg,Apple___Apple_scab
Apple___Apple_scab_4_32.jpg,Apple___Apple_scab
Apple___Apple_scab_5_1.jpg,Apple___Apple_scab
Apple___Apple_scab_5_2.jpg,Apple___Apple_scab
